acute	ostry
burden	obciążenie
caress	pieścić
coerce	przymusić
conceived	poczęte
condescending	protekcjonalny
confined 	ograniczony
contradicts	zaprzecza
crabby 	crabby
deceiving	oszukiwanie
depictions	wizerunki
descendentsfa	descendentsfa
disdain	pogarda
dwelling	mieszkanie
dwindling 	malejących
embers	żar
encouraging 	zachęcający
endeavor	dążyć
exacerbated 	pogarsza
homage	hołd
incinerated	spalane
indelible 	niezatarty
indispensable	niezbędny
infatuation 	zaślepienie
innate	wrodzony
intricacies 	zawiłości
intriguing 	intrygancki
irrevrent	irrevrent
jug	dzbanek
luminous	świetlny
mesmerising 	hipnotyzujący
moisture	wilgoć
mores	obyczaje
mundane 	doczesny
nod	ukłon
Notwithstanding 	Jednakże
ominous	złowieszczy
outwards	świat zewnętrzny
patted	poklepał
Persuasion 	Perswazja
prescribing	nakazywanie
profound 	głęboki
pulverized	sproszkowany
regret	żal
reminisce	opowiadać wspomnienia
resentment 	uraza
resentments	urazy
sip	łyk
somber	ponury
sprawl’s 	sprawl pod
Suppresses 	Wyłącza
toss 	podrzucenie
unilaterally	jednostronnie
uplifting	uplifting
utter 	zupełny
vanishing	zanik
varied 	urozmaicony
versatile 	wszechstronny
viscous 	lepki
wager 	zakład
genuinely	prawdziwie
outages	przestoje
severe	silny
connectedness	łączność
disastrous	fatalny
ruminating	przeżuwanie
numbing	drętwienie
preliminary	wstępny
sedentary	siedzący
relentless	bezwzględny
brooding	rozmyślanie
absentmindedness	roztargnienie
grumbled	burknął
ease	łatwość
vaunted	osławiony
disproportionately	nieproporcjonalnie
heartening	bicie serca
endowments	darowizny
legacy	dziedzictwo
inevitable	nieunikniony
emerging	wyłaniający się
disclousure	disclousure
smug	kołtuński
ersatz	namiastka
misfits	nieprzystosowany
fissures	pęknięcia
envisaged	przewidywane
trope	przenośnia
espouse	poślubić
espouse	poślubić
crave	pragnąć
devouring	pożera
devoid	pozbawiony czegoś
palable	palable
immersive	wciągający
grandeur	wielkość
refusenik	refusenik
allure	wabić
incentive	zachęta
deviate	zbaczać
stint	skąpić
cognitive	poznawczy
upended	upended
obsolete	przestarzały
indecisiveness	niezdecydowanie
rogue	łobuz
persuasive	przekonujący
struck	powalony
reciprocity	wzajemność
depriving	pozbawienie
incentives	zachęty
pleading	wstawiennictwo
subtle and innocuous	subtelny i nieszkodliwy
susceptibility	podatność
compulsive	przymusowy
ubiquitous	wszechobecny
sleek	gładki
racked	zgnieciony
hooked	haczykowaty
whose	którego
impetus	impet
compounded	złożony
embarked	zaokrętowany
privileging	uprzywilejowanie
appealing	pociągający
outrage	skandal
coercion	przymus
refusenik	refusenik
allure	wabić
incentive	zachęta
deviate	zbaczać
stint	skąpić
cognitive	poznawczy
upended	upended
obsolete	przestarzały
indecisiveness	niezdecydowanie
rogue	łobuz
persuasive	przekonujący
struck	powalony
reciprocity	wzajemność
depriving	pozbawienie
incentives	zachęty
pleading	wstawiennictwo
subtle and innocuous	subtelny i nieszkodliwy
susceptibility	podatność
compulsive	przymusowy
ubiquitous	wszechobecny
sleek	gładki
racked	zgnieciony
hooked	haczykowaty
whose	którego
impetus	impet
compounded	złożony
embarked	zaokrętowany
privileging	uprzywilejowanie
appealing	pociągający
outrage	skandal
coercion	przymus
blithe	świąteczny
taut	napięty
substantial	znaczny
constrain	wymusić
gleeful	radosny
giddy	roztrzepany
inward-looking	skierowany do wewnątrz
slipped	poślizgnął
oddly	dziwnie
inadequacy	nieodpowiedniość
amusement	rozrywka
eased	złagodzone
ratcheted	zapadnięte
trawling	trałowanie
splending	rozłupywanie
peculiar	szczególny
messily	niechlujnie
restrained	powściągliwy
flustered	wzburzony
baffled	zbity z tropu
engage	angażować
jobbing	praca
pang	ostry ból
transcending	przekraczać
rode	jechał
bluntly	dosadnie
kooky	kooky
fearlessness	nieustraszoność
prolific	płodny
mingler	mingler
concoted	konkludowane
profound	głęboki
pleather	pleather
stalls	stajnie
clasped	zaciśnięty
presumptuous	arogancki
apprehension	lęk
diaristic	pamiętnik
shoved	popchnięty
innocuous	nieszkodliwy
obscurity	zapomnienie
commendable	chwalebny
engaging	ujmujący
obscure	niejasny
discouraging	zniechęcający
hand holding	trzymanie ręki
afflictions	dolegliwości
pinpoint	sprecyzować
reeled	zatoczył się
distinguishing	charakterystyczny
immediate	natychmiastowy
negligible	nieistotny
tedious	nudny
immense	ogromny
juncture	połączenie
to tackle	do rozwiązania
mitigate	złagodzić
impoverished	zubożały
gimmicks	sztuczki
derogatory	uwłaczający
yields	plony
sift	przesiać
milt	śledziona
ingenious	pomysłowy
sourdough	zakwas
apprenticeship	praktyka
moisture	wilgoć
meticulous	skrupulatny
inoculate	zaszczepić
mold	pleśń
bloomy rind cheese	bloomy skórka ser
neglected	zaniedbany
covey	stado kuropatw
barren	jałowy
henceforth	odtąd
debris	gruzy
grumbled	burknął
swinging	wahadłowy
swathe	owinąć
strewn	usłana
stint	skąpić
sting	żądło
sparsely	rzadko
shorthand	stenografia
scatter	rozpraszać
restless	niespokojny
procuring	nakłanianie
preponderance	przewaga
pinpoint	sprecyzować
insidious	podstępny
inextricably	nierozerwalnie
hostile	wrogi
gruelling	wyczerpujący
fossil fuels	paliwa kopalne
disparities	rozbieżności
dimmed	przyciemnione
refusenik	refusenik
allure	wabić
incentive	zachęta
deviate	zbaczać
stint	skąpić
cognitive	poznawczy
upended	upended
obsolete	przestarzały
indecisiveness	niezdecydowanie
rogue	łobuz
persuasive	przekonujący
struck	powalony
reciprocity	wzajemność
depriving	pozbawienie
incentives	zachęty
pleading	wstawiennictwo
subtle and innocuous	subtelny i nieszkodliwy
susceptibility	podatność
compulsive	przymusowy
ubiquitous	wszechobecny
sleek	gładki
racked	zgnieciony
hooked	haczykowaty
whose	którego
impetus	impet
compounded	złożony
embarked	zaokrętowany
privileging	uprzywilejowanie
appealing	pociągający
outrage	skandal
coercion	przymus
blithe	świąteczny
taut	napięty
substantial	znaczny
constrain	wymusić
depicts	przedstawia
undetermined	nieokreślony
wielded	dzierżył
infidelity	niewierność
uncanny	niesamowity
interlocutors	rozmówcy
scapegoat	kozioł ofiarny
ubiquitous	wszechobecny
feasible	wykonalny
fidelity	wierność
whereby	w wyniku czego
designates	oznacza
uniformity	jednolitość
jerky	szarpany
Proprietary	Prawnie zastrzeżony
caveat	zastrzeżenie
mundane	doczesny
contemporary	współczesny
renowned	słynny
roster	lista
precious	cenny
greet	powitać
assessing	ocenianie
construed	skonstruowany
feeble	słaby
gist	sens
inundated	zalany
devise	wymyślać
carnage	rzeź
reddish hue	czerwonawy odcień
koa	KOA
mellow	łagodny
highly durable	  bardzo trwały
warping	wypaczenia
distinctive treble sound	charakterystyczny dźwięk sopranów
affordable	niedrogie
diverse	różnorodny
cedar tree	drzewo cedrowe
spruce tree	świerk
Rosewood	Rosewood
implies	implikuje
emphasis	nacisk
resembles	przypomina
mater	mater
impair	osłabiać
conversely	odwrotnie
plausible	do przyjęcia
burden	ciężar
arbitrary	arbitralny
constraint	przymus
backbone	kręgosłup
unconstrained	niewymuszony
preserve	zachować
verbose	gadatliwy
thought	myśl
hurted	zraniony
tough	twardy
feasible	wykonalny
